"SampleID","Scientific.name","Count","wet.mass.g","Sample.area","mean.wet.mass.g","ConFac_j2mgwm","ConFac_j2mgc","Bodymass","Temperature","Depth","Mollusca","Annelida","Crustacea","Echinodermata","Insecta","Infauna","Sessile","Crawler","FacultativeSwimmer","Herbivore","Omnivore","Carnivore","Lake","River","Marine","Subtidal","Exploited"
3465,"Abra alba",7,0.423,0.1072,0.060428571,0.802306315,45.82377078,48.48222412,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Amphiura filiformis",7,0.088,0.1072,0.012571429,2.0276,40.76965125,25.48982944,11.50140931,39,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Chamelea gallina",25,0.057,0.1072,0.00228,0.802306315,45.82377078,1.829258398,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Corbula gibba",17,0.031,0.1072,0.001823529,0.865950292,45.82377078,1.57908547,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Corystes cassivelaunus",1,0.231,0.1072,0.231,3.778833113,38.7224154,872.9104491,11.50140931,39,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0
3465,"Echinocardium cordatum",4,11.063,0.1072,2.76575,0.442653077,40.76965125,1224.267748,11.50140931,39,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Glycinde nordmanni",1,0.002,0.1072,0.002,3.332,32.07127708,6.664,11.50140931,39,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
3465,"Hyala vitrea",2,0.005,0.1072,0.0025,2.516922215,47.27037037,6.292305538,11.50140931,39,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
3465,"Lanice conchilega",2,0.402,0.1072,0.201,4.99171344,38.79187231,1003.334401,11.50140931,39,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Euspira nitida",1,0.001,0.1072,0.001,3.414207857,44.47435002,3.414207857,11.50140931,39,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
3465,"Magelona alleni",2,0.014,0.1072,0.007,3.685129093,38.79187231,25.79590365,11.50140931,39,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Magelona johnstoni",1,0.002,0.1072,0.002,3.685129093,38.79187231,7.370258186,11.50140931,39,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Kurtiella bidentata",1,0.003,0.1072,0.003,0.802306315,45.82377078,2.406918945,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
3465,"Nemertea",3,0.014,0.1072,0.004666667,3.88111001,59.11031916,18.11184801,11.50140931,39,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
3465,"Nephtys hombergii",4,0.263,0.1072,0.06575,3.6563842,48.34606622,240.4072612,11.50140931,39,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
3465,"Nucula nitidosa",32,2.952,0.1072,0.09225,1.86048,50.66574814,171.62928,11.50140931,39,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
